time_utc,distance_km,relative_velocity_km_s,sat_a_lat,sat_a_lon,sat_b_lat,sat_b_lon
2025-12-20T22:39:50.019Z,5278.131173,12.017594,80.630973,-126.088944,35.872654,-134.274346
2025-12-16T07:50:12.496Z,5345.566858,13.671262,-80.404507,-14.525669,-39.831139,-71.106806
2025-12-17T20:13:32.385Z,5354.266739,13.195347,81.873120,-40.111934,38.822864,-84.094994
2025-12-20T08:24:07.792Z,5364.718398,12.287287,18.753386,34.003331,47.519250,-9.889313
2025-12-18T17:35:39.765Z,5492.665515,12.951951,15.948476,-104.307846,42.567698,-149.745291
2025-12-19T08:37:31.419Z,5608.915166,12.761857,-82.127880,-56.439890,-36.237082,-95.098551
2025-12-17T03:36:59.412Z,5682.392429,13.579012,-10.982455,-75.369714,-35.704783,-121.757904
2025-12-21T00:16:07.955Z,5713.092546,12.224474,81.815397,-133.593697,33.742171,-155.963726
2025-12-16T08:37:40.470Z,5748.814836,13.884545,77.695100,168.912108,37.191610,100.831452
2025-12-17T21:00:59.935Z,5804.862940,13.388517,-80.204658,149.408685,-36.341265,87.447303
2025-12-20T07:36:36.258Z,5847.027758,12.548598,-15.312480,-134.633973,-45.765968,177.658912
2025-12-18T16:48:11.763Z,5943.764459,13.190232,-12.289880,87.022906,-40.279809,38.282233
2025-12-17T02:49:30.745Z,6084.848269,13.819160,6.973318,115.935040,32.836816,66.665555
2025-12-19T09:24:59.066Z,6114.096812,13.055422,80.854835,137.372598,33.422817,76.489567
2025-12-16T09:25:08.063Z,6118.516336,14.040319,-74.695339,-14.054855,-34.646182,-87.785486
2025-12-21T01:03:46.283Z,6188.940089,12.462027,-82.117445,57.759060,-31.393109,14.741381
2025-12-17T21:48:27.890Z,6243.262327,13.640344,77.428381,-27.772437,33.524769,-100.948602
2025-12-20T06:49:02.342Z,6336.436670,12.859724,11.510818,56.703855,43.655291,5.116618
2025-12-18T16:00:42.214Z,6401.421668,13.472164,8.214940,-81.683606,37.596676,-133.799443
2025-12-17T02:02:03.558Z,6434.453927,14.004571,-3.359250,-52.702293,-30.167108,-104.358604
2025-12-16T10:12:36.258Z,6472.038180,14.246151,71.183382,160.432075,31.754259,83.685521
2025-12-19T10:12:38.001Z,6526.598217,13.250990,-78.887528,-40.277002,-31.063251,-112.824931
2025-12-17T22:35:55.516Z,6642.376532,13.833275,-74.405401,148.897585,-30.856862,70.140925
2025-12-21T01:51:23.673Z,6643.683469,12.757567,81.099876,-111.972758,28.834284,-174.525643
2025-12-20T06:01:30.428Z,6767.510938,13.122252,-8.099684,-111.896937,-41.571042,-166.754529
2025-12-17T01:14:34.730Z,6777.875741,14.226560,-0.661693,138.615060,27.099114,84.450815
2025-12-16T11:00:03.970Z,6788.405392,14.391608,-67.837704,-27.369912,-29.040261,-105.346149
2025-12-18T15:13:14.214Z,6796.093449,13.705957,-4.562506,109.673832,-35.039356,54.746396
2025-12-22T00:53:09.245Z,6912.822578,12.591246,8.582405,145.263429,46.390001,90.233278
2025-12-19T11:00:09.654Z,6958.013281,13.528498,75.982374,138.867009,28.199422,58.224143
2025-12-17T23:23:23.844Z,7025.931309,14.074603,70.880161,-36.832884,27.824972,-118.640796
2025-12-17T00:27:07.319Z,7066.883205,14.393498,4.246680,-30.014163,-24.299718,-86.247945
2025-12-21T02:39:02.073Z,7077.362076,12.997565,-79.209361,71.383387,-26.382030,-4.096740
2025-12-16T11:47:32.445Z,7084.857177,14.576680,64.082747,144.049350,25.955225,65.767015
2025-12-18T14:25:44.515Z,7189.424045,13.968402,0.486220,-59.014780,32.091532,-116.832921
